1;Actuariat (BAC)  
2;Chiropratique (DOC)
3;Agriculture (BAC)
4;Génie informatique et de la construction des ordinateurs Architecture (MAI) 
5;Actuariat (BAC)
6;Chiropratique (DOC) Agriculture (BAC)
7;Génie informatique et de la construction des ordinateurs Architecture (MAI)
8;(BAC) Architecture paysagiste (BAC)
9;Information de gestion (BAC) Architecture urbaine et aménagement (MAI)
10;Psychoéducation (MAI) Autres professions de la santé (DOC)
11;Recherche opérationnelle (MAI) Bibliothéconomie et archivistique (MAI)
12;Chiropratique (DOC)
13;Comptabilité et sciences comptables (BAC)
14;Didactique (art d'enseigner) (MAI)
15;Diététique et nutrition (BAC)
16;Ergothérapie (MAI)
17;Formation des enseignants au collégial (MAI)
18;Formation des enseignants au préscolaire (BAC)
19;Formation des enseignants au préscolaire et au primaire (BAC)
20;Formation des enseignants au secondaire (BAC)
21;Formation des enseignants spécialistes au primaire et au
22;secondaire (BAC)
23;Formation des enseignants spécialistes en adaptation
24;scolaire (orthopédagogie) (BAC)
25;Gestion du personnel (BAC)
26;Génie agroforestier (MAI)
